#Species A	Chromosome A	Start A	End A	Species B	Chromosome B	Start B	End B	Size	P value
Homo sapiens	1	68336740	79247245	Mus musculus	3	151100851	159598797	36	3.320E-109
Homo sapiens	1	84107645	89511132	Mus musculus	3	142159864	146645714	34	9.653E-105
Homo sapiens	1	93686246	104102834	Mus musculus	3	113052095	122322471	39	1.781E-116
Homo sapiens	1	107400824	120737446	Mus musculus	3	96086832	110053916	117	7.200E-250
Homo sapiens	1	144124628	156422838	Mus musculus	3	86790508	97476988	214	0.000E0
Homo sapiens	1	226937491	233391395	Mus musculus	8	126177829	129494979	36	3.320E-109
Homo sapiens	1	233396833	236063911	Mus musculus	13	11645370	14291870	15	2.866E-53
Homo sapiens	2	31608	3794876	Mus musculus	12	29122660	31764808	16	2.409E-56
Homo sapiens	2	5750250	10188996	Mus musculus	12	25183469	28027439	12	1.087E-43
Homo sapiens	2	9264345	9688557	Mus musculus	12	21117805	21423394	6	1.966E-22
Homo sapiens	2	10360491	12800311	Mus musculus	12	15798535	17798732	14	3.879E-50
Homo sapiens	2	14690292	21120450	Mus musculus	12	7984479	14158844	23	3.040E-76
Homo sapiens	2	23462075	26213826	Mus musculus	12	3249429	5382488	22	8.742E-74
Homo sapiens	2	130613332	132007709	Mus musculus	16	15848534	17649508	3	1.548E-9
Homo sapiens	1	246163694	246330847	Mus musculus	16	19486886	19625194	2	1.311E-5
Homo sapiens	21	14510350	18697844	Mus musculus	16	75593089	79091342	10	1.158E-36
Homo sapiens	21	25879839	27260703	Mus musculus	16	84717821	85901370	7	3.161E-26
Homo sapiens	21	29166384	42303544	Mus musculus	16	87354430	98183786	85	4.937E-204
Homo sapiens	12	32546361	32941041	Mus musculus	16	16213411	16560242	4	2.031E-14
Homo sapiens	7	36519135	43569463	Mus musculus	13	14318705	21116121	24	5.180E-78
Homo sapiens	7	12576870	19715185	Mus musculus	12	34114509	40860770	20	1.517E-67
Homo sapiens	7	19725464	22363058	Mus musculus	12	118754952	121257179	8	6.637E-30
Homo sapiens	7	104992817	107348879	Mus musculus	12	32016429	34086133	17	4.574E-59
Homo sapiens	7	107575318	108002530	Mus musculus	12	45306884	45699827	3	3.870E-10
Homo sapiens	7	110090346	111918171	Mus musculus	12	40902973	43056087	6	1.966E-22
Homo sapiens	7	157024516	158630410	Mus musculus	12	117316264	118515266	5	1.665E-18
Homo sapiens	9	39062764	41496925	Mus musculus	13	64838899	65024486	2	7.869E-5
Homo sapiens	9	43564503	43862464	Mus musculus	13	64838899	65024486	2	7.869E-5
Homo sapiens	9	83718172	89513368	Mus musculus	13	58259015	60864546	17	4.574E-59
Homo sapiens	9	89687592	93917511	Mus musculus	13	51740694	53514421	12	1.087E-43
Homo sapiens	9	94012310	94338158	Mus musculus	13	49600179	49829628	6	1.966E-22
Homo sapiens	9	96176654	98841413	Mus musculus	13	63116294	65214252	11	4.598E-40
Homo sapiens	2	68548246	75791830	Mus musculus	6	81873663	87622162	82	3.877E-199
Homo sapiens	2	77598946	80729415	Mus musculus	6	76832544	80759183	5	6.660E-18
Homo sapiens	2	84504165	89746387	Mus musculus	6	68880263	73226899	44	4.692E-127
Homo sapiens	1	67404757	68071730	Mus musculus	6	66846391	67441849	5	1.665E-18
Homo sapiens	12	46310	2677376	Mus musculus	6	118542322	121423696	17	2.287E-59
Homo sapiens	12	2774414	32422408	Mus musculus	6	123212135	149511851	193	0.000E0
